uri,playlist,track.name,track.album.name,track.album.release_date,track.popularity,primaryartist_name,primaryartist_uri,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
spotify:track:5gQ1Awb32cPEnpe7XaSXKE,Colombian Salsa Top 100,Escombros,Unidos por la Salsa,2011-12-20,48,La Suprema Corte,spotify:artist:2oQSuDSAp77ozD3JqzEbEm,4,-5.276,0,0.0477,0.605,0.00495,0.0679,0.866,175.98,232160,4
spotify:track:3kK3kxvgLFcaJY7U3wsI24,Colombian Salsa Top 100,La Foto de los Dos - Versión Salsa,Más + Corazón Profundo,2014-05-13,35,Carlos Vives,spotify:artist:4vhNDa5ycK0ST968ek7kRr,5,-4.004,0,0.0489,0.367,0,0.191,0.78,89.6,226467,4
spotify:track:568HRJjxKE0EYxKVtC4ChZ,Colombian Salsa Top 100,Vente Pa' Ca - Versión Salsa,Vente Pa' Ca (Remixes),2016-09-30,42,Ricky Martin,spotify:artist:7slfeZO9LsJbWgpkIoXBUJ,4,-2.673,0,0.0409,0.181,0,0.0677,0.817,100.01,225000,4
spotify:track:4XmoTYNnoytxvBA5rn80LS,Colombian Salsa Top 100,La Magia de Tus Besos,Homenaje al Grupo Niche Con los Grandes de la Salsa,2002-03-07,31,Charlie Cardona,spotify:artist:7s6h7WYi8AfhxI2Dt1WQyM,8,-4.59,1,0.0427,0.168,0.000561,0.084,0.715,165.791,276160,4
spotify:track:7FbaWIOO2WojXWw2DUyEVv,Colombian Salsa Top 100,Chantaje (feat. Maluma) - Versión Salsa,Chantaje (feat. Maluma) [Versión Salsa],2017-02-02,50,Shakira,spotify:artist:0EmeFodog0BfCgMzAIvKQp,8,-5.089,0,0.0496,0.47,0,0.0544,0.908,102.012,226805,4
spotify:track:6kQnSxXpvjjv3tDokt7TZt,Colombian Salsa Top 100,"Comenzo la Rumba (feat. José Alberto ""el Canario"")",Con Clase,2012-04-01,13,Rodry-Go!,spotify:artist:0It4ViJPDNNNXkK7u899xV,11,-0.418,0,0.0527,0.465,4.8e-06,0.158,0.941,105.005,234867,4
spotify:track:1LdX85w3KuLDJFrLwY2Axr,Colombian Salsa Top 100,Sin Sentimiento,La Danza de la Chancaca,2005-01-01,43,Grupo Niche,spotify:artist:1zng9JZpblpk48IPceRWs8,5,-6.688,0,0.0694,0.495,4.61e-06,0.311,0.879,176.094,291080,4
spotify:track:7gvk8hP53QxatycUWJQaRq,Colombian Salsa Top 100,"La Tierra del Olvido (feat. ChocQuibTown, Cholo Valderrama, Fanny Lu, Fonseca, Herencia de Timbiquí, Jorge Hyman Archbold & Maluma) - En Vivo Desde el Estadio El Campín de Bogotá",Carlos Vives + Amigos Desde el Estadio El Campín de Bogotá,2016-12-09,30,Carlos Vives,spotify:artist:4vhNDa5ycK0ST968ek7kRr,0,-4.888,1,0.0777,0.0269,0,0.987,0.577,101.793,323253,4
spotify:track:40vHQSJTyvXvZG1ygZsljG,Colombian Salsa Top 100,Que Vamos Hacer de Este Amor,Ahora Soy Yo,2014-07-15,6,Yerick Rey,spotify:artist:0cWsvRPQ2QnJ3TjAhCmo53,0,-5.177,0,0.0437,0.334,0,0.0938,0.896,91.13,237087,4
spotify:track:2GgBL5RYZafPzqfHJjn4p6,Colombian Salsa Top 100,Tu Amigo o Tu Amante,The Best Of,2015-07-01,32,La Sabrosura,spotify:artist:2W3ROz699xenrLLblfUq5i,7,-8.42,1,0.0408,0.242,0.00111,0.079,0.861,172.033,285120,4
spotify:track:2Fo78qfBdw95hwhQEeIqw2,Colombian Salsa Top 100,Pa Mi Colombia,La Salsa Es Mi Vida,2017-05-05,0,Mercadonegro,spotify:artist:2ceMDOKOCfE4CNrQJeMiMf,9,-4.319,0,0.0601,0.495,0,0.162,0.961,94.964,278067,4
spotify:track:33F4IHQ2JcXWSDXNA9b4tK,Colombian Salsa Top 100,Felices los 4 - Salsa Version,Felices los 4 (Salsa Version),2017-07-07,7,Maluma,spotify:artist:1r4hJ1h58CWwUQe3MxPuau,0,-3.739,1,0.0425,0.373,0,0.174,0.854,95.562,242319,4
spotify:track:3v32VtMTRZbIQJUFsQpeJD,Colombian Salsa Top 100,Rebelión,Grandes Exitos,2015-07-01,45,Joe Arroyo,spotify:artist:7BFnoFhJjLWcsqmN3Hizqg,1,-7.07,1,0.0586,0.426,0.0135,0.263,0.815,105.807,287893,4
